battery_id,start_time,filename,discharge_cycle_raw,SOH_nominal,RUL,Rct_last,impedance_available,discharge_duration_sec
B0005,2008-04-02 15:25:41,05122.csv,1,92.82,124.0,,0,3690.234
B0005,2008-04-02 19:43:48,05124.csv,2,92.32,123.0,,0,3672.344
B0005,2008-04-03 00:01:06,05126.csv,3,91.77,122.0,,0,3651.641
B0005,2008-04-03 04:16:37,05128.csv,4,91.76,121.0,,0,3631.563
B0005,2008-04-03 08:33:25,05130.csv,5,91.73,120.0,,0,3629.172
B0005,2008-04-03 12:55:10,05132.csv,6,91.78,119.0,,0,3652.281
B0005,2008-04-03 17:17:16,05134.csv,7,91.76,118.0,,0,3650.828
B0005,2008-04-03 21:28:14,05136.csv,8,91.29,117.0,,0,3572.453
B0005,2008-04-04 01:38:15,05138.csv,9,91.24,116.0,,0,3550.594
B0005,2008-04-04 05:48:08,05140.csv,10,91.23,115.0,,0,3551.25
B0005,2008-04-04 09:57:19,05142.csv,11,91.23,114.0,,0,3530.25
B0005,2008-04-04 17:56:27,05145.csv,12,90.71,113.0,,0,3491.016
B0005,2008-04-04 22:01:54,05147.csv,13,90.69,112.0,,0,3470.281
B0005,2008-04-05 02:20:26,05149.csv,14,90.67,111.0,,0,3470.0
B0005,2008-04-05 06:25:01,05151.csv,15,90.13,110.0,,0,3450.297
B0005,2008-04-05 10:30:32,05153.csv,16,90.11,109.0,,0,3429.407
B0005,2008-04-05 14:34:41,05155.csv,17,90.13,108.0,,0,3409.484
B0005,2008-04-05 18:39:25,05157.csv,18,90.15,107.0,,0,3390.422
B0005,2008-04-05 22:46:35,05159.csv,19,90.14,106.0,,0,3390.281
B0005,2008-04-18 21:10:19,05162.csv,20,92.35,105.0,0.0694562730453699,1,3591.734
B0005,2008-04-19 02:29:09,05166.csv,21,92.37,104.0,0.0679720560130687,1,3552.297
B0005,2008-04-19 07:47:15,05170.csv,22,91.81,103.0,0.0685283289600032,1,3531.578
B0005,2008-04-19 13:01:42,05174.csv,23,91.29,102.0,0.0680444951699617,1,3492.907
B0005,2008-04-19 18:27:29,05178.csv,24,91.26,101.0,0.0684502122707276,1,3511.594
B0005,2008-04-19 23:41:55,05182.csv,25,91.28,100.0,0.0683410113732366,1,3431.9370000000054
B0005,2008-04-20 04:54:41,05186.csv,26,90.7,99.0,0.0686823765587221,1,3431.125
B0005,2008-04-20 10:16:28,05190.csv,27,90.74,98.0,0.0681437253042456,1,3412.406
B0005,2008-04-20 15:37:05,05194.csv,28,90.7,97.0,0.0678255571971684,1,3410.688
B0005,2008-04-20 20:50:38,05198.csv,29,90.14,96.0,0.0688580524121343,1,3410.718
B0005,2008-04-21 02:15:02,05202.csv,30,90.2,95.0,0.0677943469911627,1,3392.719
B0005,2008-04-22 15:33:49,05206.csv,31,92.59,94.0,0.0694040818553967,1,3470.672
B0005,2008-04-22 20:26:18,05210.csv,32,91.54,93.0,0.0699377430233672,1,3414.109
B0005,2008-04-23 01:18:11,05214.csv,33,91.0,92.0,0.0695041754421432,1,3395.219
B0005,2008-04-23 06:18:19,05218.csv,34,90.47,91.0,0.069661211991841,1,3386.0
B0005,2008-04-23 11:08:00,05222.csv,35,90.23,90.0,0.0711294674960708,1,3368.187
B0005,2008-04-23 16:06:25,05226.csv,36,89.97,89.0,0.0716707961231252,1,3368.266
B0005,2008-04-23 21:02:58,05230.csv,37,89.42,88.0,0.0697669618355563,1,3358.719
B0005,2008-04-24 01:51:33,05234.csv,38,89.15,87.0,0.0719248993978976,1,3339.5
B0005,2008-04-24 06:50:00,05238.csv,39,88.65,86.0,0.0719378705603448,1,3331.265
B0005,2008-04-24 11:49:24,05242.csv,40,88.65,85.0,0.0703395836124857,1,3321.188
B0005,2008-04-24 16:45:56,05246.csv,41,88.39,84.0,0.0697381270154479,1,3321.844
B0005,2008-04-24 21:38:11,05250.csv,42,88.12,83.0,0.0701251142477667,1,3311.828
B0005,2008-04-25 12:03:44,05254.csv,43,88.38,82.0,0.0697134641311117,1,3327.391
B0005,2008-04-25 20:03:55,05256.csv,44,88.13,81.0,0.0697134641311117,1,3312.078
B0005,2008-04-26 01:04:35,05260.csv,45,87.59,80.0,0.073180098911682,1,3293.172
B0005,2008-04-26 05:57:35,05264.csv,46,87.09,79.0,0.0716524732655295,1,3275.328
B0005,2008-04-26 10:58:25,05268.csv,47,86.8,78.0,0.0724998374901,1,3265.016
B0005,2008-04-29 12:15:56,05270.csv,48,89.68,77.0,0.0724998374901,1,3328.937
B0005,2008-04-29 17:05:27,05274.csv,49,89.16,76.0,0.0701407541984291,1,3329.266
