type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct,elapsed_hours_from_first,hours_from_prev_operation,group,end_reason,analysis_role,test_temperature_profile,load_profile,eol_rule_source,cutoff_voltage,discharge_current,eol_fade_threshold,cap_flag,cap_exclude,cap_anomaly,discharge_cycle_raw,is_hard_excluded,discharge_cycle_valid,init_cap,SOH_nominal,SOH_relative,eol_soh_threshold,eol_cycle,RUL,rul_label_type
discharge,2010-06-16 10:39:50,4,B0041,0,2996,02996.csv,0.055620243768194,,,0.0,0.0,F,QA_issue,anomaly,4°C_22°C_mixed,4A_1A_mixed,NASA_30%fade,2.7,4A_1A_mixed,0.3,low_anomaly,False,True,1,False,1.0,1.1194574527298191,,,70.0,43.0,42.0,anomaly_case
discharge,2010-06-16 14:46:51,4,B0041,3,2999,02999.csv,0.0556974726122768,,,4.116944444444444,0.5297222222222222,F,QA_issue,anomaly,4°C_22°C_mixed,4A_1A_mixed,NASA_30%fade,2.7,4A_1A_mixed,0.3,low_anomaly,False,True,2,False,2.0,1.1194574527298191,,,70.0,43.0,41.0,anomaly_case
discharge,2010-06-16 18:07:22,4,B0041,5,3001,03001.csv,0.0558390162918539,,,7.458888888888889,3.0213888888888887,F,QA_issue,anomaly,4°C_22°C_mixed,4A_1A_mixed,NASA_30%fade,2.7,4A_1A_mixed,0.3,low_anomaly,False,True,3,False,3.0,1.1194574527298191,,,70.0,43.0,40.0,anomaly_case
discharge,2010-06-16 21:27:32,4,B0041,7,3003,03003.csv,0.056148059974053,,,10.795,3.0205555555555557,F,QA_issue,anomaly,4°C_22°C_mixed,4A_1A_mixed,NASA_30%fade,2.7,4A_1A_mixed,0.3,low_anomaly,False,True,4,False,4.0,1.1194574527298191,,,70.0,43.0,39.0,anomaly_case
discharge,2010-06-17 00:47:36,4,B0041,9,3005,03005.csv,0.056470531599139,,,14.129444444444445,3.0213888888888887,F,QA_issue,anomaly,4°C_22°C_mixed,4A_1A_mixed,NASA_30%fade,2.7,4A_1A_mixed,0.3,low_anomaly,False,True,5,False,5.0,1.1194574527298191,,,70.0,43.0,38.0,anomaly_case
discharge,2010-06-17 03:38:47,4,B0041,11,3007,03007.csv,0.0440922918408019,,,16.9825,2.6380555555555554,F,QA_issue,anomaly,4°C_22°C_mixed,4A_1A_mixed,NASA_30%fade,2.7,4A_1A_mixed,0.3,low_anomaly,False,True,6,False,6.0,1.1194574527298191,,,70.0,43.0,37.0,anomaly_case
discharge,2010-06-17 08:10:30,4,B0041,15,3011,03011.csv,0.0567719130814178,,,21.511111111111113,0.5297222222222222,F,QA_issue,anomaly,4°C_22°C_mixed,4A_1A_mixed,NASA_30%fade,2.7,4A_1A_mixed,0.3,low_anomaly,False,True,7,False,7.0,1.1194574527298191,,,70.0,43.0,36.0,anomaly_case
discharge,2010-06-17 11:30:34,4,B0041,17,3013,03013.csv,0.0569383765007572,,,24.845555555555556,3.0216666666666665,F,QA_issue,anomaly,4°C_22°C_mixed,4A_1A_mixed,NASA_30%fade,2.7,4A_1A_mixed,0.3,low_anomaly,False,True,8,False,8.0,1.1194574527298191,,,70.0,43.0,35.0,anomaly_case
discharge,2010-06-17 14:50:30,4,B0041,19,3015,03015.csv,0.0444014841131225,,,28.177777777777777,3.0216666666666665,F,QA_issue,anomaly,4°C_22°C_mixed,4A_1A_mixed,NASA_30%fade,2.7,4A_1A_mixed,0.3,low_anomaly,False,True,9,False,9.0,1.1194574527298191,,,70.0,43.0,34.0,anomaly_case
discharge,2010-06-17 18:10:06,4,B0041,21,3017,03017.csv,0.0446343581849161,,,31.504444444444445,3.0213888888888887,F,QA_issue,anomaly,4°C_22°C_mixed,4A_1A_mixed,NASA_30%fade,2.7,4A_1A_mixed,0.3,low_anomaly,False,True,10,False,10.0,1.1194574527298191,,,70.0,43.0,33.0,anomaly_case
