battery_id,group,discharge_cycle_valid,SOH_relative,ambient_temperature,RUL,Re_mean,Rct_mean
B0005,A,1.0,101.15,24,124.0,0.054244654752636096,0.0773395586424507
B0005,A,2.0,100.6,24,123.0,0.054244654752636096,0.0773395586424507
B0005,A,3.0,100.0,24,122.0,0.054244654752636096,0.0773395586424507
B0005,A,4.0,100.0,24,121.0,0.054244654752636096,0.0773395586424507
B0005,A,5.0,99.96,24,120.0,0.054244654752636096,0.0773395586424507
B0005,A,6.0,100.02,24,119.0,0.054244654752636096,0.0773395586424507
B0005,A,7.0,99.99,24,118.0,0.054244654752636096,0.0773395586424507
B0005,A,8.0,99.48,24,117.0,0.054244654752636096,0.0773395586424507
B0005,A,9.0,99.42,24,116.0,0.054244654752636096,0.0773395586424507
B0005,A,10.0,99.42,24,115.0,0.054244654752636096,0.0773395586424507
B0005,A,11.0,99.42,24,114.0,0.054244654752636096,0.0773395586424507
B0005,A,12.0,98.85,24,113.0,0.054244654752636096,0.0773395586424507
B0005,A,13.0,98.82,24,112.0,0.054244654752636096,0.0773395586424507
B0005,A,14.0,98.81,24,111.0,0.054244654752636096,0.0773395586424507
B0005,A,15.0,98.22,24,110.0,0.054244654752636096,0.0773395586424507
B0005,A,16.0,98.19,24,109.0,0.054244654752636096,0.0773395586424507
B0005,A,17.0,98.21,24,108.0,0.054244654752636096,0.0773395586424507
B0005,A,18.0,98.24,24,107.0,0.054244654752636096,0.0773395586424507
B0005,A,19.0,98.23,24,106.0,0.054244654752636096,0.0773395586424507
B0005,A,20.0,100.64,24,105.0,0.054244654752636096,0.0773395586424507
B0005,A,21.0,100.66,24,104.0,0.054244654752636096,0.0773395586424507
B0005,A,22.0,100.05,24,103.0,0.054244654752636096,0.0773395586424507
B0005,A,23.0,99.48,24,102.0,0.054244654752636096,0.0773395586424507
B0005,A,24.0,99.44,24,101.0,0.054244654752636096,0.0773395586424507
B0005,A,25.0,99.47,24,100.0,0.054244654752636096,0.0773395586424507
B0005,A,26.0,98.84,24,99.0,0.054244654752636096,0.0773395586424507
B0005,A,27.0,98.88,24,98.0,0.054244654752636096,0.0773395586424507
B0005,A,28.0,98.84,24,97.0,0.054244654752636096,0.0773395586424507
B0005,A,29.0,98.22,24,96.0,0.054244654752636096,0.0773395586424507
B0005,A,30.0,98.3,24,95.0,0.054244654752636096,0.0773395586424507
B0005,A,31.0,100.9,24,94.0,0.054244654752636096,0.0773395586424507
B0005,A,32.0,99.75,24,93.0,0.054244654752636096,0.0773395586424507
B0005,A,33.0,99.16,24,92.0,0.054244654752636096,0.0773395586424507
B0005,A,34.0,98.58,24,91.0,0.054244654752636096,0.0773395586424507
B0005,A,35.0,98.33,24,90.0,0.054244654752636096,0.0773395586424507
B0005,A,36.0,98.04,24,89.0,0.054244654752636096,0.0773395586424507
B0005,A,37.0,97.44,24,88.0,0.054244654752636096,0.0773395586424507
B0005,A,38.0,97.14,24,87.0,0.054244654752636096,0.0773395586424507
B0005,A,39.0,96.6,24,86.0,0.054244654752636096,0.0773395586424507
B0005,A,40.0,96.6,24,85.0,0.054244654752636096,0.0773395586424507
B0005,A,41.0,96.32,24,84.0,0.054244654752636096,0.0773395586424507
B0005,A,42.0,96.02,24,83.0,0.054244654752636096,0.0773395586424507
B0005,A,43.0,96.31,24,82.0,0.054244654752636096,0.0773395586424507
B0005,A,44.0,96.04,24,81.0,0.054244654752636096,0.0773395586424507
B0005,A,45.0,95.44,24,80.0,0.054244654752636096,0.0773395586424507
B0005,A,46.0,94.91,24,79.0,0.054244654752636096,0.0773395586424507
B0005,A,47.0,94.59,24,78.0,0.054244654752636096,0.0773395586424507
B0005,A,48.0,97.73,24,77.0,0.054244654752636096,0.0773395586424507
B0005,A,49.0,97.16,24,76.0,0.054244654752636096,0.0773395586424507
B0005,A,50.0,96.3,24,75.0,0.054244654752636096,0.0773395586424507
B0005,A,51.0,95.73,24,74.0,0.054244654752636096,0.0773395586424507
B0005,A,52.0,95.18,24,73.0,0.054244654752636096,0.0773395586424507
B0005,A,53.0,94.9,24,72.0,0.054244654752636096,0.0773395586424507
B0005,A,54.0,94.61,24,71.0,0.054244654752636096,0.0773395586424507
B0005,A,55.0,94.06,24,70.0,0.054244654752636096,0.0773395586424507
B0005,A,56.0,93.49,24,69.0,0.054244654752636096,0.0773395586424507
B0005,A,57.0,93.2,24,68.0,0.054244654752636096,0.0773395586424507
B0005,A,58.0,92.95,24,67.0,0.054244654752636096,0.0773395586424507
B0005,A,59.0,92.64,24,66.0,0.054244654752636096,0.0773395586424507
B0005,A,60.0,92.33,24,65.0,0.054244654752636096,0.0773395586424507
B0005,A,61.0,91.8,24,64.0,0.054244654752636096,0.0773395586424507
B0005,A,62.0,91.23,24,63.0,0.054244654752636096,0.0773395586424507
B0005,A,63.0,91.24,24,62.0,0.054244654752636096,0.0773395586424507
B0005,A,64.0,90.65,24,61.0,0.054244654752636096,0.0773395586424507
B0005,A,65.0,90.39,24,60.0,0.054244654752636096,0.0773395586424507
B0005,A,66.0,90.11,24,59.0,0.054244654752636096,0.0773395586424507
B0005,A,67.0,89.5,24,58.0,0.054244654752636096,0.0773395586424507
B0005,A,68.0,89.24,24,57.0,0.054244654752636096,0.0773395586424507
B0005,A,69.0,88.96,24,56.0,0.054244654752636096,0.0773395586424507
B0005,A,70.0,88.69,24,55.0,0.054244654752636096,0.0773395586424507
B0005,A,71.0,88.38,24,54.0,0.054244654752636096,0.0773395586424507
B0005,A,72.0,87.79,24,53.0,0.054244654752636096,0.0773395586424507
B0005,A,73.0,87.53,24,52.0,0.054244654752636096,0.0773395586424507
B0005,A,74.0,87.26,24,51.0,0.054244654752636096,0.0773395586424507
B0005,A,75.0,86.65,24,50.0,0.054244654752636096,0.0773395586424507
B0005,A,76.0,86.4,24,49.0,0.054244654752636096,0.0773395586424507
B0005,A,77.0,86.36,24,48.0,0.054244654752636096,0.0773395586424507
B0005,A,78.0,86.93,24,47.0,0.054244654752636096,0.0773395586424507
B0005,A,79.0,85.8,24,46.0,0.054244654752636096,0.0773395586424507
B0005,A,80.0,85.26,24,45.0,0.054244654752636096,0.0773395586424507
B0005,A,81.0,84.98,24,44.0,0.054244654752636096,0.0773395586424507
B0005,A,82.0,84.97,24,43.0,0.054244654752636096,0.0773395586424507
B0005,A,83.0,84.71,24,42.0,0.054244654752636096,0.0773395586424507
B0005,A,84.0,84.39,24,41.0,0.054244654752636096,0.0773395586424507
B0005,A,85.0,83.81,24,40.0,0.054244654752636096,0.0773395586424507
B0005,A,86.0,83.25,24,39.0,0.054244654752636096,0.0773395586424507
B0005,A,87.0,83.28,24,38.0,0.054244654752636096,0.0773395586424507
B0005,A,88.0,82.96,24,37.0,0.054244654752636096,0.0773395586424507
B0005,A,89.0,82.68,24,36.0,0.054244654752636096,0.0773395586424507
B0005,A,90.0,87.49,24,35.0,0.054244654752636096,0.0773395586424507
B0005,A,91.0,85.21,24,34.0,0.054244654752636096,0.0773395586424507
B0005,A,92.0,84.35,24,33.0,0.054244654752636096,0.0773395586424507
B0005,A,93.0,83.49,24,32.0,0.054244654752636096,0.0773395586424507
B0005,A,94.0,83.2,24,31.0,0.054244654752636096,0.0773395586424507
B0005,A,95.0,82.65,24,30.0,0.054244654752636096,0.0773395586424507
B0005,A,96.0,82.38,24,29.0,0.054244654752636096,0.0773395586424507
B0005,A,97.0,82.09,24,28.0,0.054244654752636096,0.0773395586424507
B0005,A,98.0,81.81,24,27.0,0.054244654752636096,0.0773395586424507
B0005,A,99.0,81.23,24,26.0,0.054244654752636096,0.0773395586424507
B0005,A,100.0,80.96,24,25.0,0.054244654752636096,0.0773395586424507
B0005,A,101.0,80.66,24,24.0,0.054244654752636096,0.0773395586424507
B0005,A,102.0,80.38,24,23.0,0.054244654752636096,0.0773395586424507
B0005,A,103.0,80.96,24,22.0,0.054244654752636096,0.0773395586424507
B0005,A,104.0,81.52,24,21.0,0.054244654752636096,0.0773395586424507
B0005,A,105.0,80.68,24,20.0,0.054244654752636096,0.0773395586424507
B0005,A,106.0,80.08,24,19.0,0.054244654752636096,0.0773395586424507
B0005,A,107.0,79.22,24,18.0,0.054244654752636096,0.0773395586424507
B0005,A,108.0,79.23,24,17.0,0.054244654752636096,0.0773395586424507
B0005,A,109.0,79.28,24,16.0,0.054244654752636096,0.0773395586424507
B0005,A,110.0,78.95,24,15.0,0.054244654752636096,0.0773395586424507
B0005,A,111.0,78.39,24,14.0,0.054244654752636096,0.0773395586424507
B0005,A,112.0,78.1,24,13.0,0.054244654752636096,0.0773395586424507
B0005,A,113.0,78.1,24,12.0,0.054244654752636096,0.0773395586424507
B0005,A,114.0,77.81,24,11.0,0.054244654752636096,0.0773395586424507
B0005,A,115.0,77.53,24,10.0,0.054244654752636096,0.0773395586424507
B0005,A,116.0,77.23,24,9.0,0.054244654752636096,0.0773395586424507
B0005,A,117.0,76.96,24,8.0,0.054244654752636096,0.0773395586424507
B0005,A,118.0,76.97,24,7.0,0.054244654752636096,0.0773395586424507
B0005,A,119.0,76.69,24,6.0,0.054244654752636096,0.0773395586424507
B0005,A,120.0,78.1,24,5.0,0.054244654752636096,0.0773395586424507
B0005,A,121.0,78.36,24,4.0,0.054244654752636096,0.0773395586424507
B0005,A,122.0,77.23,24,3.0,0.054244654752636096,0.0773395586424507
B0005,A,123.0,76.66,24,2.0,0.054244654752636096,0.0773395586424507
B0005,A,124.0,76.35,24,1.0,0.054244654752636096,0.0773395586424507
B0005,A,125.0,76.1,24,0.0,0.054244654752636096,0.0773395586424507
B0005,A,126.0,75.8,24,0.0,0.054244654752636096,0.0773395586424507
B0005,A,127.0,75.53,24,0.0,0.054244654752636096,0.0773395586424507
B0005,A,128.0,75.21,24,0.0,0.054244654752636096,0.0773395586424507
B0005,A,129.0,74.93,24,0.0,0.054244654752636096,0.0773395586424507
B0005,A,130.0,74.67,24,0.0,0.054244654752636096,0.0773395586424507
B0005,A,131.0,74.67,24,0.0,0.054244654752636096,0.0773395586424507
B0005,A,132.0,74.36,24,0.0,0.054244654752636096,0.0773395586424507
B0005,A,133.0,74.94,24,0.0,0.054244654752636096,0.0773395586424507
B0005,A,134.0,75.52,24,0.0,0.054244654752636096,0.0773395586424507
B0005,A,135.0,74.64,24,0.0,0.054244654752636096,0.0773395586424507
B0005,A,136.0,74.36,24,0.0,0.054244654752636096,0.0773395586424507
B0005,A,137.0,73.79,24,0.0,0.054244654752636096,0.0773395586424507
B0005,A,138.0,73.81,24,0.0,0.054244654752636096,0.0773395586424507
B0005,A,139.0,73.81,24,0.0,0.054244654752636096,0.0773395586424507
B0005,A,140.0,73.52,24,0.0,0.054244654752636096,0.0773395586424507
B0005,A,141.0,73.24,24,0.0,0.054244654752636096,0.0773395586424507
