type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct,elapsed_hours_from_first,rest_hours_from_prev_discharge,group,end_reason,analysis_role,ambient_profile,load_profile,cutoff_voltage,eol_rule_source,cap_flag,cap_exclude,cap_anomaly,discharge_cycle_raw,is_hard_excluded,discharge_cycle_valid,init_cap,SOH_nominal,SOH_relative,eol_soh_threshold,eol_cycle,RUL
discharge,2009-02-13 23:12:28,24,B0025,3,4003,04003.csv,1.847011162956716,,,4.1433333333333335,0.5286111111111111,B,censored,excluded,24°C_stable,4A_squarewave,2.7,censored,valid,False,False,1,False,1.0,1.847111177186175,92.35,99.99,70.0,,
discharge,2009-02-14 04:03:34,24,B0025,5,4005,04005.csv,1.8485654344528384,,,8.995,3.019722222222222,B,censored,excluded,24°C_stable,4A_squarewave,2.7,censored,valid,False,False,2,False,2.0,1.847111177186175,92.43,100.08,70.0,,
discharge,2009-02-14 08:54:41,24,B0025,7,4007,04007.csv,1.847111177186175,,,13.846944444444444,3.019722222222222,B,censored,excluded,24°C_stable,4A_squarewave,2.7,censored,valid,False,False,3,False,3.0,1.847111177186175,92.36,100.0,70.0,,
discharge,2009-02-14 13:45:23,24,B0025,9,4009,04009.csv,1.8489837601535537,,,18.691944444444445,3.02,B,censored,excluded,24°C_stable,4A_squarewave,2.7,censored,valid,False,False,4,False,4.0,1.847111177186175,92.45,100.1,70.0,,
discharge,2009-02-14 18:35:40,24,B0025,11,4011,04011.csv,1.837012071856044,,,23.53,3.0180555555555557,B,censored,excluded,24°C_stable,4A_squarewave,2.7,censored,valid,False,False,5,False,5.0,1.847111177186175,91.85,99.45,70.0,,
discharge,2009-02-18 10:48:58,24,B0025,15,4015,04015.csv,1.817549211247137,,,111.75166666666667,82.73027777777777,B,censored,excluded,24°C_stable,4A_squarewave,2.7,censored,valid,False,False,6,False,6.0,1.847111177186175,90.88,98.4,70.0,,
discharge,2009-02-18 16:49:07,24,B0025,19,4019,04019.csv,1.839863822522073,,,117.75416666666666,0.5288888888888889,B,censored,excluded,24°C_stable,4A_squarewave,2.7,censored,valid,False,False,7,False,7.0,1.847111177186175,91.99,99.61,70.0,,
discharge,2009-02-19 00:52:49,24,B0025,22,4022,04022.csv,1.8430595619731431,,,125.81583333333333,2.546666666666667,B,censored,excluded,24°C_stable,4A_squarewave,2.7,censored,valid,False,False,8,False,8.0,1.847111177186175,92.15,99.78,70.0,,
discharge,2009-02-19 05:38:57,24,B0025,24,4024,04024.csv,1.8401871729536057,,,130.5847222222222,2.951388888888889,B,censored,excluded,24°C_stable,4A_squarewave,2.7,censored,valid,False,False,9,False,9.0,1.847111177186175,92.01,99.63,70.0,,
discharge,2009-02-19 10:25:15,24,B0025,26,4026,04026.csv,1.8281265632888255,,,135.3563888888889,2.9575,B,censored,excluded,24°C_stable,4A_squarewave,2.7,censored,valid,False,False,10,False,10.0,1.847111177186175,91.41,98.97,70.0,,
discharge,2009-02-20 09:44:26,24,B0025,30,4030,04030.csv,1.8253563336445804,,,158.6761111111111,17.890833333333333,B,censored,excluded,24°C_stable,4A_squarewave,2.7,censored,valid,False,False,11,False,11.0,1.847111177186175,91.27,98.82,70.0,,
discharge,2009-02-20 15:43:26,24,B0025,34,4034,04034.csv,1.8214180552626156,,,164.65944444444443,0.5291666666666667,B,censored,excluded,24°C_stable,4A_squarewave,2.7,censored,valid,False,False,12,False,12.0,1.847111177186175,91.07,98.61,70.0,,
discharge,2009-02-20 20:27:00,24,B0025,36,4036,04036.csv,1.830315627968932,,,169.38555555555556,2.9138888888888888,B,censored,excluded,24°C_stable,4A_squarewave,2.7,censored,valid,False,False,13,False,13.0,1.847111177186175,91.52,99.09,70.0,,
discharge,2009-02-21 01:12:57,24,B0025,38,4038,04038.csv,1.8175491643824844,,,174.1513888888889,2.9575,B,censored,excluded,24°C_stable,4A_squarewave,2.7,censored,valid,False,False,14,False,14.0,1.847111177186175,90.88,98.4,70.0,,
discharge,2009-02-21 05:57:05,24,B0025,40,4040,04040.csv,1.810901200296979,,,178.88694444444445,2.9297222222222223,B,censored,excluded,24°C_stable,4A_squarewave,2.7,censored,valid,False,False,15,False,15.0,1.847111177186175,90.55,98.04,70.0,,
discharge,2009-02-21 10:42:44,24,B0025,42,4042,04042.csv,1.8083032603084237,,,183.64777777777778,2.960277777777778,B,censored,excluded,24°C_stable,4A_squarewave,2.7,censored,valid,False,False,16,False,16.0,1.847111177186175,90.42,97.9,70.0,,
discharge,2009-03-02 16:30:34,24,B0025,46,4046,04046.csv,1.7928016149381063,,,405.445,216.33333333333334,B,censored,excluded,24°C_stable,4A_squarewave,2.7,censored,valid,False,False,17,False,17.0,1.847111177186175,89.64,97.06,70.0,,
